_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Tecnologista Pleno I,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 491,2013-12-06,2013.0,Port. 553,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 498,2013-12-10,2013.0,Port. 338,,,,,,
Comando da Marinha - CMAR,MD,Administrador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 499,2013-12-10,2013.0,Port. 499,,,,,,
Comando da Marinha - CMAR,MD,Analista de Sistema,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 499,2013-12-10,2013.0,Port. 499,,,,,,
Comando da Marinha - CMAR,MD,Contador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 499,2013-12-10,2013.0,Port. 499,,,,,,
Comando da Marinha - CMAR,MD,Agente Administrativo,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 499,2013-12-10,2013.0,Port. 499,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista em Reforma e Desenvolvimento Agrário,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 527,2013-12-23,2013.0,Port. 508,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 527,2013-12-23,2013.0,Port. 508,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Analista Técnico-Administrativo,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Economista,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Estatístico,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Contador,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Arquivista,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Técnico em Comunicação Social,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Agente Administrativo,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Técnico em Contabilidade,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 528,2013-12-23,2013.0,Port. 522,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Técnico Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 552,2013-12-30,2013.0,Port. 044,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Especialista em Meio Ambiente,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 553,2013-12-30,2013.0,Port. 459,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Especialista em Regulação de Serviços de Telecomunicações,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 556,2013-12-30,2013.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico em Regulação de Serviços de Telecomunicações,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 556,2013-12-30,2013.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 556,2013-12-30,2013.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 556,2013-12-30,2013.0,Port. 556,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 557,2013-12-30,2013.0,Port. 557,,,,,,
Instituto Nacional de Pesquisas Espaciais - INPE,MCTI,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 572,2013-12-31,2013.0,Port. 553,,,,,,
Advocacia-Geral de União - AGU,PR,Procurador Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,ATO PRÓPRIO,2012-01-03,2012.0,ATO PRÓPRIO,,,,,,
Advocacia-Geral de União - AGU,PR,Procurador Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,ATO PRÓPRIO,2012-01-03,2012.0,ATO PRÓPRIO,,,,,,
Defensoria Pública da União - DPU,MJ,Defensor Público da União,Nível Superior,,,,1º Provimento,,Articulação Governamental,ATO PRÓPRIO,2012-01-03,2012.0,ATO PRÓPRIO,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Diplomata,Nível Superior,,,,1º Provimento,,Articulação Governamental,ATO PRÓPRIO,2012-01-03,2012.0,ATO PRÓPRIO,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Oficial Técnico de Inteligência,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 032,2012-02-14,2012.0,Port. 085,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Agente Técnico de Inteligência,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 032,2012-02-14,2012.0,Port. 085,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Especialista em Recursos Minerais,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 31,2012-02-14,2012.0,Port. 184,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Técnico em Atividades de Mineração,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 31,2012-02-14,2012.0,Port. 184,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Técnico Administrativo,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 31,2012-02-14,2012.0,Port. 184,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,1º Provimento,,Social,Port. 31,2012-02-14,2012.0,Port. 184,,,,,,
Agência Nacional de Águas - ANA,MMA,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 043,2012-02-17,2012.0,Port. 043,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 044,2012-02-17,2012.0,Port. 044,,,,,,
Controladoria-Geral da União - CGU,PR,Analista de Finanças e Controle,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 064,2012-03-05,2012.0,Port. 064,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Pesquisador,Nível Superior,,,,1º Provimento,,Social,Port. 067,2012-03-09,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Tecnologista,Nível Superior,,,,1º Provimento,,Social,Port. 067,2012-03-09,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 067,2012-03-09,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Técnico,Nível Intermediário,,,,1º Provimento,,Social,Port. 067,2012-03-09,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 067,2012-03-09,2012.0,Port. 506,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Especialista em Regulação de Aviação Civil,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 073,2012-03-09,2012.0,Port. 073,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico em Regulação de Aviação Civil,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 073,2012-03-09,2012.0,Port. 073,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 073,2012-03-09,2012.0,Port. 073,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 073,2012-03-09,2012.0,Port. 073,,,,,,
Agência Nacional do Cinema - ANCINE,MinC,Técnico Administrativo,Nível Intermediário,,,,1º Provimento,,Social,Port. 66,2012-03-09,2012.0,Port. 66,,,,,,
Agência Nacional do Cinema - ANCINE,MinC,Técnico em Regulação da Atividade Cinematográfica e Audiovisual,Nível Intermediário,,,,1º Provimento,,Social,Port. 66,2012-03-09,2012.0,Port. 66,,,,,,
Centro Gestor e Operacional do Sistema de Proteção da Amazônia - CENSIPAM,MD,Analista em Ciência e Tecnologia,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 74,2012-03-09,2012.0,Port. 74,,,,,,
Ministério da Previdência Social –  MPS,MPS,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 098,2012-03-21,2012.0,Port. 219,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 100,2012-03-21,2012.0,Port. 038,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Economista,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 100,2012-03-21,2012.0,Port. 038,,,,,,
Ministério da Saúde – MS,MS,Médico,Nível Superior,,,,Excepcional,,Social,EMI 056,2012-04-09,2012.0,Port. 185,,,,,,
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP,MEC,Pesquisador-Tecnologista em Informações e Avaliações Educacionais,Nível Superior,,,,1º Provimento,,Social,Port. 154,2012-04-12,2012.0,Port. 154,,,,,,
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP,MEC,Técnico em Informações Educacionais,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2012-04-12,2012.0,Port. 154,,,,,,
Ministério da Cultura - MinC,MinC,Analista Técnico-Administrativo,Nível Superior,,,,Adicional de até 50%,,Social,Port. 155,2012-04-12,2012.0,Port. 365,,,,,,
Ministério da Cultura - MinC,MinC,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 155,2012-04-12,2012.0,Port. 365,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 156,2012-04-12,2012.0,Port. 156,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 156,2012-04-12,2012.0,Port. 156,,,,,,
Ministério do Meio Ambiente – MMA,MMA,Analista Ambiental,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 158,2012-04-12,2012.0,Port. 373,,,,,,
Ministério da Saúde – MS,MS,CPST,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 159,2012-04-12,2012.0,Port. 185,,,,,,
Ministério da Saúde – MS,MS,CPST,Nível Superior,,,,Adicional de até 50%,,Social,Port. 159,2012-04-12,2012.0,Port. 185,,,,,,
Ministério da Saúde – MS,MS,Economista e Estatístico,Nível Superior,,,,Adicional de até 50%,,Social,Port. 159,2012-04-12,2012.0,Port. 185,,,,,,
Banco Central do Brasil – BACEN,MF,Procurador do Banco Central do Brasil,Nível Superior,,,,Excepcional,,Desenvolvimento Econômico e Produtivo,EMI 067,2012-04-20,2012.0,Port. 028,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 168,2012-04-23,2012.0,Port. 168,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,Especialista em Geologia e Geofísica,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 168,2012-04-23,2012.0,Port. 168,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,"Especialista em Regulação de Petróleo e Derivados, Álcool Combustível e Gás Natural",Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 168,2012-04-23,2012.0,Port. 168,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Analista de Gestão em Saúde,Nível Superior,,,,1º Provimento,,Social,Port. 175,2012-04-26,2012.0,Port. 064,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Analista de Gestão em Saúde,Nível Superior,,,,1º Provimento,,Social,Port. 175,2012-04-26,2012.0,Port. 342,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 175,2012-04-26,2012.0,Port. 064,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Especialista em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 175,2012-04-26,2012.0,Port. 342,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Especialista em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 175,2012-04-26,2012.0,Port. 342,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Analista Ambiental,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 180,2012-04-30,2012.0,Port. 180,,,,,,
Fundo Nacional de Desenvolvimento da Educação - FNDE,MEC,Especialista em Financiamento e Execução de Programas e Projetos Educacionais,Nível Superior,,,,1º Provimento,,Social,Port. 181,2012-04-30,2012.0,Port. 181,,,,,,
Fundo Nacional de Desenvolvimento da Educação - FNDE,MEC,Técnico em Financiamento e Execução de Programas e Projetos Educacionais,Nível Intermediário,,,,1º Provimento,,Social,Port. 181,2012-04-30,2012.0,Port. 181,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Plano Especial de Cargos da Cultura,Nível Intermediário,,,,1º Provimento,,Social,Port. 182,2012-04-30,2012.0,Port. 182,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador-Tecnologista em Metrologia e Qualidade,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 183,2012-05-02,2012.0,Port. 032,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Analista Executivo em Metrologia e Qualidade,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 183,2012-05-02,2012.0,Port. 032,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Assistente Executivo em Metrologia e Qualidade,Nível Intermediário,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 183,2012-05-02,2012.0,Port. 032,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Técnico em Metrologia e Qualidade,Nível Intermediário,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 183,2012-05-02,2012.0,Port. 032,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Analista de Infraestrutura de Transporte,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 191,2012-05-08,2012.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 191,2012-05-08,2012.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Técnico de Suporte em Infra-estrutura de Transportes,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 191,2012-05-08,2012.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Técnico de Suporte em Infra-estrutura de Transportes,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 191,2012-05-08,2012.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 191,2012-05-08,2012.0,Port. 191,,,,,,
Ministério da Fazenda – MF,MF,Assistente Técnico-Administrativo,Nível Intermediário,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 207,2012-05-17,2012.0,Port. 207,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,1º Provimento,,Social,Port. 214,2012-05-18,2012.0,Port. 108,,,,,,
Secretaria da Receita Federal do Brasil – RFB,MF,Auditor-Fiscal da Receita Federal do Brasil,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 228,2012-05-25,2012.0,Port. 228,,,,,,
Secretaria da Receita Federal do Brasil – RFB,MF,Analista-Tributário da Receita Federal do Brasil,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 228,2012-05-25,2012.0,Port. 228,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista Técnico de Políticas  Sociais,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 230,2012-05-25,2012.0,Port. 230,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista Técnico de Políticas  Sociais,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 230,2012-05-25,2012.0,Port. 230,,,,,,
Ministério da Integração Nacional – MI,MI,Assistente Técnico-Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 048,2012-06-12,2012.0,Port. 048,,,,,,
Ministério da Integração Nacional – MI,MI,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 048,2012-06-12,2012.0,Port. 048,,,,,,
Ministério da Integração Nacional – MI,MI,Engenheiro,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 048,2012-06-12,2012.0,Port. 048,,,,,,
Comando da Aeronáutica - COMAER,MD,Controlador de Trafego Aéreo do Grupo de Defesa Aérea e Controle de Trafego Aéreo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 254,2012-06-19,2012.0,Port. 254,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Especialista Sênior em Propriedade Intelectual,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Pesquisador em Propriedade Industrial,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Tecnologista em Propriedade Industrial,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,"Analista em Planejamento, Gestão e Infraestrutura em Propriedade Industrial",Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Técnico em Propriedade Industrial,Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,"Técnico de Planejamento, Gestão e Infraestrutura em Propriedade Industrial",Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 255,2012-06-19,2012.0,Port. 255,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central do Brasil,Nível Superior,,,,Excepcional,,Desenvolvimento Econômico e Produtivo,EMI 121,2012-06-20,2012.0,Port. 211,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central do Brasil,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 263,2012-06-21,2012.0,Port. 211,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Analista em Ciência e Tecnologia,Nível Superior,,,,Excepcional,,Social,EMI 133,2012-06-26,2012.0,Port. 174,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Técnico,Nível Intermediário,,,,Excepcional,,Social,EMI 133,2012-06-26,2012.0,Port. 174,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Tecnologista,Nível Superior,,,,Excepcional,,Social,EMI 133,2012-06-26,2012.0,Port. 174,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Excepcional,,Social,EMI 133,2012-06-26,2012.0,Port. 174,,,,,,
Superintendência de Seguros Privados – SUSEP,MF,Analista Técnico,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 284,2012-06-28,2012.0,Port. 357,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Te c n o l o g i s t a,Nível Superior,,,,Adicional de até 50%,,Social,Port. 288,2012-06-29,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Analista em Ciência e Tecnologia,Nível Superior,,,,Adicional de até 50%,,Social,Port. 288,2012-06-29,2012.0,Port. 506,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 288,2012-06-29,2012.0,Port. 506,,,,,,
Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPq,MCTI,Analista em Ciência e Tecnologia,Nível Superior,,,,Adicional de até 50%,,Social,Port. 290,2012-07-02,2012.0,Port. 423,,,,,,
Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPq,MCTI,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 290,2012-07-02,2012.0,Port. 423,,,,,,
Ministério da Saúde – MS,MS,Administrador,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Assistente Social,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Enfermeiro,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Farmacêutico,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Médico,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Nutricionista,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Odontólogo,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Psicólogo,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Auxiliar de Enfermagem,Nível Intermediário,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Saúde – MS,MS,Técnico de Laboratório,Nível Intermediário,,,,1º Provimento,,Social,Port. 292,2012-07-05,2012.0,Port. 292,,,,,,
Ministério da Cultura - MinC,MinC,Técnico de Nível Superior,Nível Superior,,,,1º Provimento,,Social,Port. 314,2012-07-31,2012.0,Port. 314,31.07.2013,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Técnico de Assuntos Educacionais,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 338,2012-08-10,2012.0,Port. 338,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Técnico de Nível Superior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 338,2012-08-10,2012.0,Port. 338,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 338,2012-08-10,2012.0,Port. 338,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 339,2012-08-10,2012.0,Port. 079,,,,,,
Instituto Tecnológico de Aeronáutica – ITA,MD,Professor de Magistério Superior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 358,2012-08-16,2012.0,Port. 358,,,,,,
Comando da Aeronáutica - COMAER,MD,Analista Júnior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Comando da Aeronáutica - COMAER,MD,Tecnologista Júnior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Comando da Aeronáutica - COMAER,MD,Tecnologista Pleno,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Comando da Aeronáutica - COMAER,MD,Pesquisador Assistente,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Comando da Aeronáutica - COMAER,MD,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Comando da Aeronáutica - COMAER,MD,Técnico,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 359,2012-08-16,2012.0,Port. 359,,,,,,
Ministério da Educação – MEC,MEC,Instituição Federal de Ensino Superior - IFES,Nível Superior,,,,1º Provimento,,Social,PRI 405,2012-08-31,2012.0,PRI 405,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,Excepcional,,Articulação Governamental,EMI 198,2012-09-11,2012.0,Port. 079,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,Excepcional,,Articulação Governamental,EMI 198,2012-09-11,2012.0,Port. 079,,,,,,
Instituto Benjamin Constant - IBC,MEC,Técnico Administrativo (Nível C),Nível Intermediário,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Benjamin Constant - IBC,MEC,Técnico Administrativo (Nível D),Nível Intermediário,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
